src_ip,total_pkts,tcp_pkts,udp_pkts,other_pkts,unique_dports_count,syn_ratio,avg_pkt_size,duration_sec,bytes_per_sec,port_scan_score,small_syn_score,potential_flood,potential_scan,label
192.168.1.41,471,462,1,8,3,0.0152,86.04,30.02,15.69,0.0064,1.7609,0,0,normal
192.168.1.43,516,403,70,43,15,0.0074,723.11,30.02,17.19,0.0291,0.1029,0,0,normal
192.168.1.33,24,0,24,0,2,0.0,172.08,30.02,0.8,0.0833,0.0,0,0,normal
200.48.225.146,55,0,55,0,54,0.0,170.05,30.02,1.83,0.9818,0.0,0,0,normal
192.168.1.1,2,0,0,2,0,0.0,60.0,30.02,0.07,0.0,0.0,0,0,normal
104.20.23.154,5,5,0,0,1,0.0,236.2,30.02,0.17,0.2,0.0,0,0,normal
142.251.0.113,4,4,0,0,1,0.0,261.25,30.02,0.13,0.25,0.0,0,0,normal
104.16.132.229,4,4,0,0,1,0.0,340.0,30.02,0.13,0.25,0.0,0,0,normal
8.8.8.8,10,0,0,10,0,0.0,98.0,30.02,0.33,0.0,0.0,0,0,normal
200.48.225.130,12,0,12,0,12,0.0,172.83,30.02,0.4,1.0,0.0,0,0,normal
1.1.1.1,10,0,0,10,0,0.0,98.0,30.02,0.33,0.0,0.0,0,0,normal
192.168.1.33,26,0,26,0,3,0.0,178.08,30.02,0.87,0.1154,0.0,0,0,normal
192.168.1.43,308,198,92,18,39,0.0152,1795.96,30.02,10.26,0.1266,0.0844,0,0,normal
192.168.1.41,295,284,3,8,5,0.0387,76.7,30.02,9.83,0.0169,5.0497,0,0,normal
192.168.1.1,2,0,0,2,0,0.0,60.0,30.02,0.07,0.0,0.0,0,0,normal
200.48.225.146,92,0,92,0,91,0.0,171.16,30.02,3.06,0.9891,0.0,0,0,normal
104.20.23.154,5,5,0,0,1,0.0,236.2,30.02,0.17,0.2,0.0,0,0,normal
172.217.192.138,4,4,0,0,1,0.0,261.25,30.02,0.13,0.25,0.0,0,0,normal
104.16.133.229,4,4,0,0,1,0.0,339.5,30.02,0.13,0.25,0.0,0,0,normal
8.8.8.8,10,0,0,10,0,0.0,98.0,30.02,0.33,0.0,0.0,0,0,normal
1.1.1.1,8,0,0,8,0,0.0,98.0,30.02,0.27,0.0,0.0,0,0,normal
192.168.1.41,178,161,9,8,4,0.0186,84.66,30.22,5.89,0.0225,2.2011,0,0,normal
192.168.1.33,25,0,25,0,2,0.0,174.8,30.22,0.83,0.08,0.0,0,0,normal
192.168.1.43,205,157,37,11,31,0.0191,1019.43,30.22,6.78,0.1512,0.1874,0,0,normal
1.1.1.1,2,0,0,2,0,0.0,98.0,30.22,0.07,0.0,0.0,0,0,normal
200.48.225.146,28,0,28,0,28,0.0,167.29,30.22,0.93,1.0,0.0,0,0,normal
192.168.1.1,2,0,0,2,0,0.0,60.0,30.22,0.07,0.0,0.0,0,0,normal
200.48.225.130,4,0,4,0,4,0.0,164.25,30.22,0.13,1.0,0.0,0,0,normal
104.20.23.154,5,5,0,0,1,0.0,236.2,30.22,0.17,0.2,0.0,0,0,normal
108.177.123.100,4,4,0,0,1,0.0,261.25,30.22,0.13,0.25,0.0,0,0,normal
104.16.132.229,4,4,0,0,1,0.0,339.5,30.22,0.13,0.25,0.0,0,0,normal
8.8.8.8,9,0,0,9,0,0.0,98.0,30.22,0.3,0.0,0.0,0,0,normal
192.168.1.43,41,26,4,11,25,0.0385,71.41,30.03,1.37,0.6098,5.3857,0,0,normal
8.8.8.8,1,0,0,1,0,0.0,98.0,30.03,0.03,0.0,0.0,0,0,normal
1.1.1.1,10,0,0,10,0,0.0,98.0,30.03,0.33,0.0,0.0,0,0,normal
192.168.1.33,25,0,25,0,2,0.0,174.8,30.03,0.83,0.08,0.0,0,0,normal
192.168.1.41,9,0,1,8,1,0.0,62.89,30.03,0.3,0.1111,0.0,0,0,normal
192.168.1.1,2,0,0,2,0,0.0,60.0,30.03,0.07,0.0,0.0,0,0,normal
192.168.1.38,7,0,7,0,2,0.0,130.43,30.03,0.23,0.2857,0.0,0,0,normal
200.48.225.130,1,0,1,0,1,0.0,138.0,30.03,0.03,1.0,0.0,0,0,normal
200.48.225.146,2,0,2,0,2,0.0,126.0,30.03,0.07,1.0,0.0,0,0,normal
172.66.147.243,1,1,0,0,1,0.0,74.0,30.03,0.03,1.0,0.0,0,0,normal
192.168.1.43,24548,24511,17,20,21212,0.0001,60.04,30.0,818.26,0.8641,0.0136,0,1,normal
172.66.147.243,4,4,0,0,1,0.0,276.75,30.0,0.13,0.25,0.0,0,0,normal
200.48.225.146,12,0,12,0,12,0.0,170.25,30.0,0.4,1.0,0.0,0,0,normal
108.177.123.101,4,4,0,0,1,0.0,261.25,30.0,0.13,0.25,0.0,0,0,normal
192.168.1.41,33,23,2,8,4,0.0435,71.85,30.0,1.1,0.1212,6.0514,0,0,normal
192.168.1.33,23,0,23,0,2,0.0,176.22,30.0,0.77,0.087,0.0,0,0,normal
192.168.1.38,2,0,2,0,2,0.0,135.0,30.0,0.07,1.0,0.0,0,0,normal
192.168.1.1,2,0,0,2,0,0.0,60.0,30.0,0.07,0.0,0.0,0,0,normal
200.48.225.130,3,0,3,0,3,0.0,162.33,30.0,0.1,1.0,0.0,0,0,normal
104.16.133.229,4,4,0,0,1,0.0,339.5,30.0,0.13,0.25,0.0,0,0,normal
8.8.8.8,10,0,0,10,0,0.0,98.0,30.0,0.33,0.0,0.0,0,0,normal
1.1.1.1,10,0,0,10,0,0.0,98.0,30.0,0.33,0.0,0.0,0,0,normal
192.168.1.43,326183,326174,9,0,65218,0.0,57.97,30.0,10872.76,0.1999,0.0,0,1,normal
