src_ip,total_pkts,tcp_pkts,udp_pkts,other_pkts,unique_dports_count,syn_ratio,avg_pkt_size,duration_sec,bytes_per_sec,port_scan_score,small_syn_score,potential_flood,potential_scan,label
192.168.1.41,2819,2451,91,277,6,0.0322,84.64,0,0,0.0021,3.8082,0,0,normal
192.168.1.43,17354005,17352905,897,203,65536,0.0,58.19,0,0,0.0038,0.0005,0,1,normal
192.168.1.33,688,0,688,0,4,0.0,177.26,0,0,0.0058,0.0,0,0,normal
200.48.225.146,297,0,297,0,293,0.0,168.34,0,0,0.9865,0.0,0,1,normal
192.168.1.1,54,0,0,54,0,0.0,60.0,0,0,0.0,0.0,0,0,normal
104.20.23.154,19,19,0,0,4,0.0,245.05,0,0,0.2105,0.0,0,0,normal
142.251.0.113,4,4,0,0,1,0.0,261.25,0,0,0.25,0.0,0,0,normal
104.16.132.229,23,23,0,0,5,0.0,306.0,0,0,0.2174,0.0,0,0,normal
8.8.8.8,63,0,0,63,0,0.0,98.0,0,0,0.0,0.0,0,0,normal
200.48.225.130,193,0,193,0,193,0.0,169.74,0,0,1.0,0.0,0,1,normal
1.1.1.1,61,0,0,61,0,0.0,98.0,0,0,0.0,0.0,0,0,normal
172.217.192.138,8,8,0,0,2,0.0,163.88,0,0,0.25,0.0,0,0,normal
104.16.133.229,18,18,0,0,5,0.0,310.33,0,0,0.2778,0.0,0,0,normal
108.177.123.100,4,4,0,0,1,0.0,261.25,0,0,0.25,0.0,0,0,normal
192.168.1.38,33,0,33,0,2,0.0,127.58,0,0,0.0606,0.0,0,0,normal
172.66.147.243,22,22,0,0,5,0.0,260.41,0,0,0.2273,0.0,0,0,normal
108.177.123.101,4,4,0,0,1,0.0,261.25,0,0,0.25,0.0,0,0,normal
185.125.190.56,4,0,4,0,4,0.0,90.0,0,0,1.0,0.0,0,0,normal
108.177.123.139,4,4,0,0,1,0.0,264.25,0,0,0.25,0.0,0,0,normal
142.251.0.138,3,3,0,0,1,0.0,326.33,0,0,0.3333,0.0,0,0,normal
172.217.192.101,3,3,0,0,1,0.0,326.33,0,0,0.3333,0.0,0,0,normal
64.233.186.102,4,4,0,0,1,0.0,261.25,0,0,0.25,0.0,0,0,normal
142.251.0.139,2,2,0,0,1,0.0,76.0,0,0,0.5,0.0,0,0,normal
